function,description,category,looping,animation,start_animation,loop_animation,end_animation,max_repeats
triple_pose,Do a series of cute poses,emote,FALSE,KA_Idle20_TriplePose,,,,1
stumble,Trip and fall clumsily,action,FALSE,KA_Idle17_StumbleAndFall,,,,1
backflip,Do an impressive backflip,action,FALSE,KA_Idle55_Backflip,,,,1
handstand,Do a handstand to show off,action,FALSE,KA_Idle56_Handstand,,,,1
spinning_jump,Do a spinning jump in the air,action,FALSE,KA_Idle07_SpinningJump,,,,1
tie_shoelaces,Bend down to tie shoelaces,action,FALSE,KA_Idle15_TieShoelaces,,,,1
change_clothes,Magically change outfit,action,FALSE,KA_Idle70_ChangeClothes,,,,1
standing_chat,Chat casually while standing,action,FALSE,KA_Idle50_StandingTalk1_1,,,,
standing_chat,Chat casually while standing,action,FALSE,KA_Idle51_StandingTalk1_2,,,,
dance,Dance happily,dance,FALSE,KA_Idle13_Dance01,,,,
dance,Dance happily,dance,FALSE,KA_Idle14_Dance02,,,,
dance,Dance happily,dance,FALSE,KA_Idle23_Dance03,,,,
dance,Dance happily,dance,FALSE,KA_Idle24_Dance04,,,,
dance,Dance happily,dance,FALSE,KA_Idle57_Dance05,,,,
dance,Dance happily,dance,FALSE,KA_Idle58_Dance06,,,,
dance_loop,Dance with repeating loop — good for extended dancing,dance,TRUE,,KA_Idle63_Dance05_Start,KA_Idle63_Dance05_Loop,KA_Idle63_Dance05_End,
dance_loop,Dance with repeating loop — good for extended dancing,dance,TRUE,,KA_Idle64_Dance06_Start,KA_Idle64_Dance06_Loop,KA_Idle64_Dance06_End,
sing,Sing with a microphone,action,TRUE,,KA_Idle80_Sing_Microphone_Start,KA_Idle80_Sing_Microphone_Loop1,KA_Idle80_Sing_Microphone_End,
sing_no_mic,Sing without a microphone,action,TRUE,,KA_Idle81_Sing_NoMicrophone_Start,KA_Idle81_Sing_NoMicrophone_Loop1,KA_Idle81_Sing_NoMicrophone_End,
seiza,Sit in formal seiza position on the floor,action,TRUE,,KA_Idle53_Seiza_Start,KA_Idle53_Seiza_Loop1,KA_Idle53_Seiza_End,
